,English,French,Unnamed: 0
0,part,partie,0
1,history,histoire,1
2,search,chercher,2
3,only,seulement,3
4,police,police,4
5,thought,pensais,5
6,help,aide,6
7,request,demande,7
8,kind,genre,8
9,month,mois,9
10,brother,frère,10
11,let,laisser,11
12,because,car,12
13,to put,mettre,13
14,no,aucun,14
15,them,eux,16
16,city,ville,17
17,each,chaque,18
18,speak,parlé,19
19,come,arrivé,20
20,should,devrait,21
21,baby,bébé,22
22,long time,longtemps,23
23,hours,heures,24
24,will,vont,25
25,while,pendant,26
26,meet again,revoir,27
27,any,aucune,28
28,square,place,29
29,speak,parle,30
30,understood,compris,31
31,knew,savais,32
32,were,étaient,33
33,Warning,attention,34
34,here is,voici,35
35,could,pourrais,36
36,case,affaire,37
37,give,donner,38
38,type,type,39
39,their,leurs,40
40,given,donné,41
41,train,train,42
42,body,corps,43
43,place,endroit,44
44,eyes,yeux,45
45,way,façon,46
46,listen,écoute,47
47,whose,dont,48
48,find,trouve,49
49,first,premier,50
50,lost,perdu,51
51,hand,main,52
52,first,première,53
53,side,côté,54
54,old,vieux,56
55,be,sois,57
56,here,tiens,58
57,morning,matin,59
58,so much,tellement,60
59,child,enfant,61
60,point,point,62
61,came,venu,63
62,after,suite,64
63,sorry,pardon,65
64,come,venez,66
65,in front of,devant,67
66,towards,vers,68
67,minutes,minutes,69
68,request,demandé,70
69,bedroom,chambre,71
70,placed,mis,72
71,beautiful,belle,73
72,law,droit,74
73,would like to,aimerais,75
74,today,aujourd'hui,76
75,husband,mari,77
76,cause,cause,78
77,finally,enfin,79
78,hope,espère,80
79,water,eau,81
80,Wait,attendez,82
81,left,parti,83
82,new,nouvelle,84
83,job,boulot,85
84,Stop,arrêter,86
85,would say,dirait,87
86,Earth,terre,88
87,account,compte,89
88,given,donne,90
89,far,loin,91
90,end,fin,92
91,believe,croire,93
92,sweetheart,chérie,94
93,large,gros,95
94,rather,plutôt,96
95,will have,aura,97
96,girls,filles,98
97,to play,jouer,99
98,office,bureau,100
